epoch,train/cls_loss,metrics/precision(B),metrics/recall(B),time
1,1.122643030401486,0.3615364650087394,0.3313253012048193,54.28750443458557
2,0.7716420635358611,0.3566221030936394,0.3545611015490533,135.66851139068604
3,0.6877178832221387,0.349996894814881,0.3304647160068847,244.20050954818726
4,0.6206041042929265,0.3429778886156827,0.3244406196213425,379.73373770713806
5,0.5767366350141924,0.3219915558494907,0.2874354561101549,542.2274348735809
6,0.5279873720745543,0.3371783803169397,0.3158347676419966,731.7474746704102
7,0.4843613885676683,0.3132465006811532,0.2951807228915662,948.2617309093475
8,0.4541883606519272,0.3435690293902754,0.32960413080895,1191.7968997955322
9,0.4319122093382166,0.3094628059330367,0.2960413080895008,1462.2851593494415
10,0.3981073080603756,0.3188064646346481,0.3115318416523235,1759.8268706798553
11,0.3814585165523771,0.3575098708152606,0.346815834767642,2084.4299404621124
12,0.3449638270175279,0.3308567886663684,0.3218588640275387,2436.094336271286
13,0.3223572580227211,0.2950695719151038,0.2848537005163511,2814.816600084305
14,0.3202270474006881,0.353028191604061,0.3442340791738382,3220.507968902588
15,0.3067215507599845,0.3376666612302761,0.3192771084337349,3653.1908395290375
16,0.2960083889427469,0.3293744742543448,0.3141135972461273,4112.881539344788
17,0.265385197948164,0.3322815895268792,0.3201376936316695,4599.66446852684
18,0.2621574693206531,0.3127773765216814,0.302065404475043,5113.418476343155
19,0.2520574223972968,0.3347096861584152,0.3227194492254733,5654.2605357170105
20,0.2485936331882405,0.3204916302557604,0.310671256454389,6222.181385755539
21,0.2252947039791007,0.3298944440787563,0.3192771084337349,6817.11870265007
22,0.2150132973025094,0.3032512600196347,0.293459552495697,7439.083561182022
23,0.2093336299728991,0.3220698973232686,0.3098106712564544,8088.096494674683
24,0.2062420384096565,0.3304357555616751,0.3218588640275387,8764.137963056564
25,0.195998732111792,0.3322418040060022,0.3227194492254733,9467.164100170135
26,0.1890717650860992,0.3367145167740563,0.3321858864027538,10197.262652397156
27,0.1795501440429865,0.347115022394345,0.3390705679862306,10954.346695661545
28,0.183895444414064,0.3270809573587427,0.3235800344234079,11738.421543598175
29,0.177082170968625,0.3025602121537703,0.2943201376936317,12549.540749788284
30,0.1680643062538175,0.3393888516765728,0.3313253012048193,13387.655357122421
31,0.1656644319309227,0.3142991787357956,0.310671256454389,14252.805240392685
32,0.1737061261352318,0.3384489519971953,0.3330464716006884,15144.97927904129
33,0.1643431730457206,0.3401221971236117,0.3330464716006884,16064.237483024597
34,0.1545427253108416,0.3156292346925008,0.3080895008605852,17010.51898407936
35,0.1497518655969135,0.324847447142047,0.3218588640275387,17983.863394021988
36,0.1495080926080248,0.3329962140597107,0.3313253012048193,18984.210572719574
37,0.1533993485369789,0.3510180071538314,0.3459552495697074,20011.557619810104
38,0.1417459190003017,0.3308227530682423,0.3244406196213425,21065.954263448715
39,0.1443717668194379,0.3322239516062014,0.3270223752151463,22147.417428016663
40,0.1471283012139263,0.3565210457691811,0.3502581755593804,23255.88622736931
41,0.1428291446237422,0.3004914049722865,0.2960413080895008,24391.31778526306
42,0.1360415579445326,0.3461275289929763,0.3373493975903614,25553.817942142487
43,0.1321624630867545,0.3099520299720149,0.2986230636833046,26743.384170532227
44,0.1275691783139065,0.3385411590425849,0.3313253012048193,27959.960596561432
45,0.1247775139314914,0.3658506653441211,0.3588640275387263,29203.57296514511
46,0.122751428787388,0.3035831596581431,0.2994836488812392,30474.250018119812
47,0.1218167685472698,0.3414903217999437,0.333907056798623,31771.927886724472
48,0.1199328846006251,0.3206752884100385,0.3141135972461273,33096.549956321716
49,0.116505543882055,0.331663956129058,0.3278829604130809,34448.23126745224
50,0.1238466438962452,0.3391140629532541,0.3330464716006884,35826.95194172859
51,0.1213263886243994,0.3237679434374179,0.3149741824440619,37232.73007440567
52,0.1154789374168239,0.3546187098225414,0.3493975903614458,38665.645287036896
53,0.121516831330399,0.3140624109986279,0.3098106712564544,40125.5724067688
54,0.1250719088894217,0.2950787223464829,0.2900172117039586,41612.495874643326
55,0.1237277777782127,0.3400137076188499,0.3364888123924268,43126.39920449257
56,0.1186213543110374,0.3461595069822015,0.3407917383820998,44667.38818526268
57,0.1153104397843578,0.3344095451315288,0.3313253012048193,46235.39362239838
58,0.1215247996429454,0.3184765864140131,0.3132530120481928,47830.42718052864
59,0.1087091690791187,0.3411713603743295,0.338209982788296,49452.51321601868
60,0.11019945214155,0.3388755816714858,0.3347676419965577,51101.73383831978
61,0.105122093500486,0.3266063461420957,0.3244406196213425,52778.017094135284
62,0.1069412143873189,0.3627505305499035,0.3588640275387263,54481.3163292408
63,0.1111728923478678,0.3127756829201762,0.306368330464716,56211.62117815018
64,0.1147863278304463,0.3437900048741516,0.3407917383820998,57969.00760149956
65,0.1066113400147922,0.3188081067088404,0.3115318416523235,59753.45428156853
66,0.1033505199393674,0.3391683245746978,0.3321858864027538,61564.90326285362
67,0.1036229251480814,0.3540449621079334,0.3485370051635111,63403.4559173584
68,0.1066707202247274,0.3639871858471886,0.3605851979345955,65269.11754822731
69,0.1025599813950595,0.3176090669090387,0.3149741824440619,67161.93784952164
70,0.1057678728517311,0.3227384590050637,0.3166953528399311,69081.82327413559
71,0.1072801566168443,0.3158391220036852,0.3132530120481928,71028.77541399002
72,0.1048086181338598,0.3311959318033496,0.3304647160068847,73002.72324562073
73,0.1111025984829931,0.3372072602388083,0.3270223752151463,75003.64808011055
74,0.1015066267338706,0.3230522546324133,0.3184165232358003,77031.66473770142
75,0.0988121247336046,0.3109831755299766,0.3055077452667814,79086.77816271782
76,0.1004195305060094,0.321081541387809,0.3175559380378657,81169.12469601631
77,0.1035323616450847,0.3459535955459444,0.3390705679862306,83278.75821018219
78,0.0987385813313633,0.3602258372531372,0.3511187607573149,85415.72013068199
79,0.1016869979785449,0.3169973180197132,0.3123924268502582,87579.84552383423
80,0.1030879255328605,0.3405120394681591,0.3321858864027538,89771.20607209206
81,0.1007953791865217,0.340207011487199,0.3356282271944922,91989.68448162079
82,0.107774811838545,0.3182505122308479,0.3123924268502582,94235.27307415009
83,0.110444486975225,0.3141894048802678,0.3080895008605852,96508.03710365295
84,0.0992503985206582,0.3493183041375812,0.3459552495697074,98807.89689469337
85,0.100281109171572,0.3508027881746809,0.3528399311531842,101134.72798800468
86,0.0995872640954469,0.3597315123073328,0.3571428571428571,103488.58239412308
87,0.1064958747392937,0.3332704094797581,0.3278829604130809,105869.50682330132
88,0.1060748239284131,0.3420647495841021,0.3390705679862306,108277.55562281609
89,0.1042471877785761,0.3250528412715316,0.3166953528399311,110712.82490229607
90,0.0966611746976624,0.3355742438960662,0.3330464716006884,113175.22298812866
91,0.0962936626052233,0.3354401081065567,0.3321858864027538,115664.74123811722
92,0.0962534566868597,0.3418166771795147,0.3390705679862306,118181.43936181068
93,0.0944615255818882,0.3274768682013043,0.3244406196213425,120725.22957062721
94,0.0951637693805926,0.3168943476014843,0.3132530120481928,123296.1900100708
95,0.0978366675605969,0.3086025592447153,0.302065404475043,125894.25121593475
96,0.1019847845630859,0.3491026461318789,0.342512908777969,128519.51738762856
97,0.0975773960574349,0.3602460133355094,0.3554216867469879,131171.9686744213
98,0.0910285758827604,0.3360675872875309,0.3313253012048193,133851.53627324104
99,0.0932962653685861,0.3443991816873146,0.3347676419965577,136558.31490445137
100,0.0949255646998757,0.3180390807633819,0.3123924268502582,139292.31660676003
